word_idx,word_id,word,accuracy
0,w_92005ecf3788faea,help,0.999999
1,w_c5f5e4d75252d978,best,0.999999
2,w_26f580ae0efc6907,smile,0.999999
3,w_52e6d8ab88471af8,full,0.999999
4,w_44213f9f4d59b557,coffee,0.999999
5,w_6d5a45920a15adea,water,0.999999
6,w_27a5a05c01ee6e7b,room,0.999999
7,w_3a01be17246d588c,music,0.999999
8,w_5749570a404b690f,amazing,0.999999
9,w_66f79d8a6327c82c,history,0.999999
10,w_bf5afc18dfbca6ff,sexy,0.999999
11,w_3978d009748ef54a,happy,0.999999
12,w_2c54892c40a17516,city,0.999999
13,w_96de5543d183d7de,yellow,0.999999
14,w_3f934e4f1268bb82,soon,0.999999
15,w_2b020927d3c6eb40,start,0.999999
16,w_f6be6ca910984ef0,phone,0.999999
17,w_9027cc5a2c1321de,global,0.999999
18,w_d432c3525b9d084b,radio,0.999999
19,w_64292b1c2b2e13ea,group,0.999999
20,w_a5a0d15d4ae8ea37,problem,0.999999
21,w_a2620cbc10f5198d,day,0.999999
22,w_22fa6121da96f43a,sun,0.999999
23,w_b1c1d8736f20db3f,me,0.999999
24,w_889c6853a117aca8,player,0.999999
25,w_30eef85dfdd3282c,sugar,0.999999
26,w_d89455758ecc0f43,eat,0.999999
27,w_df06b147f778d46f,walk,0.999999
28,w_5737ef08a3ec16a3,sky,0.999999
29,w_95c4bea12e4edcf8,big,0.999999
30,w_2b2d005e88ce14a4,hospital,0.999999
31,w_03715355e5dbe889,born,0.999999
32,w_cd1933db799b8605,toy,0.999999
33,w_d27a1f1177120094,right,0.999999
34,w_4ed3655ea94ba490,actor,0.999999
35,w_0f400122e37da3a4,rule,0.999999
36,w_c4c6c5725301c9d2,positive,0.999999
37,w_ded8dae5786fb0e9,find,0.999999
38,w_b7c61c80ab26349d,think,0.999999
39,w_8af56de68279cb6f,you,0.999999
40,w_8ab6a8a0cf069e37,sport,0.999999
41,w_a7afddb68260a60f,read,0.999999
42,w_aaf4c61ddcc5e8a2,hello,0.999999
43,w_b483b668ed18bcf5,bath,0.999999
44,w_4db2c1df4610cd6c,five,0.999999
45,w_cf5dbf0ec57dff5d,milk,0.999999
46,w_379d6ce99a8a95a7,move,0.999999
47,w_84beb18831cfaa4e,party,0.999999
48,w_6711b9ebf598e7db,men,0.999999
49,w_091b5035885c0017,horse,0.999999
50,w_edb1f42a0bd4ff4b,woman,0.999999
51,w_ad60c535ff88e85b,level,0.999999
52,w_13a4a11319d31c1b,save,0.999999
53,w_2dac81d65dd44b5d,tomorrow,0.999999
54,w_32cb9138ce24c9c5,foot,0.999999
55,w_61bb8d29b5be7db3,back,0.999999
56,w_ad782ecdac770fc6,two,0.999999
57,w_6b5465bf0bccf06b,airport,0.999999
58,w_eadcd9bd2a09c75a,do,0.999999
59,w_b7adf77905f54024,who,0.999999
60,w_eac923ffd38e75dc,song,0.999999
61,w_faa5d68302694fc7,shirt,0.999999
62,w_42685f11da91a55b,children,0.999999
63,w_14e833557d06a77a,hotel,0.999999
64,w_335ce16b3fe40346,subject,0.999999
65,w_0b8a1caec23d75d1,broken,0.999999
66,w_4cf5bc59bee9e1c4,service,0.999999
67,w_14a275fb605019e3,kids,0.999999
68,w_4f8278c89ad16da0,document,0.999999
69,w_d56d985300d4b52e,check,0.999999
70,w_50644481c7cd620b,present,0.999999
71,w_c2543fff3bfa6f14,this,0.999999
72,w_709634051471385a,between,0.999999
73,w_6b77993c34761277,often,0.999999
74,w_2dbc2fd2358e1ea1,online,0.999999
75,w_c3ace180d336809b,hate,0.999999
76,w_3b01d3ebd10b89a1,telephone,0.999999
77,w_f957097d7a22775f,finished,0.999999
78,w_8c2fd8442fc659de,promise,0.999999
